symbol,name,publish_date,org,rating_value,last_rating_value,rating_name,eps_this,eps_next,industry
002105,信隆健康,2017-01-10,中银证券,,,,,,摩托车及其他
002536,西泵股份,2017-01-10,西南证券,3.0,,买入,,,汽车零部件
000939,凯迪生态,2017-01-10,东兴证券,3.0,,买入,,,电力行业
600150,中国船舶,2017-01-09,东吴证券,3.0,,买入,,,航海装备Ⅱ
600596,新安股份,2017-01-09,信达证券,2.0,2.0,增持,,,农化制品
600572,康恩贝,2017-01-09,信达证券,3.0,3.0,买入,,,中药Ⅱ
600276,恒瑞医药,2017-01-09,群益证券,3.0,,买入,,,化学制药
002588,史丹利,2017-01-09,东兴证券,3.0,3.0,买入,,,农化制品
300014,亿纬锂能,2017-01-09,中投证券,3.0,3.0,买入,,,电池
300014,亿纬锂能,2017-01-09,东吴证券,3.0,3.0,买入,,,电池
002623,亚玛顿,2017-01-09,太平洋,2.0,2.0,增持,,,光伏设备
000967,盈峰环境,2017-01-09,东吴证券,3.0,3.0,买入,,,金属制品
000581,威孚高科,2017-01-09,辉立证券,3.0,,买入,,,汽车零部件
300385,雪浪环境,2017-01-09,国金证券,,,,,,机械行业
600867,通化东宝,2017-01-09,国金证券,,,,,,医药制造
600350,山东高速,2017-01-09,国金证券,,,,,,高速公路
600634,中技控股,2017-01-09,国金证券,,,,,,软件服务
002470,金正大,2017-01-09,东兴证券,3.0,3.0,买入,,,农化制品
300129,泰胜风能,2017-01-08,东吴证券,3.0,,买入,,,风电设备
300242,明家联合,2017-01-08,中银证券,,,,,,软件服务
300090,盛运环保,2017-01-06,联讯证券,3.0,3.0,买入,,,环保工程
300450,先导智能,2017-01-06,西南证券,3.0,,买入,,,专用设备
300120,经纬电材,2017-01-06,民生证券,,,,,,金属制品
600000,浦发银行,2017-01-06,民生证券,,,,,,银行
300068,南都电源,2017-01-06,民生证券,,,,,,电子元件
600584,长电科技,2017-01-06,群益证券,3.0,3.0,买入,,,电子元件
000625,长安汽车,2017-01-06,群益证券,3.0,3.0,买入,,,汽车行业
601336,新华保险,2017-01-06,东兴证券,3.0,,买入,,,保险
600000,浦发银行,2017-01-06,元大证券(香港),2.0,2.0,增持,,,银行
600499,科达洁能,2017-01-06,长城国瑞证券,2.0,2.0,增持,,,机械行业
000830,鲁西化工,2017-01-06,东兴证券,3.0,3.0,买入,,,化肥行业
601579,会稽山,2017-01-06,东兴证券,3.0,3.0,买入,,,酿酒行业
300379,东方通,2017-01-06,国金证券,,,,,,软件服务
300548,博创科技,2017-01-06,太平洋,3.0,3.0,买入,,,通讯行业
002669,康达新材,2017-01-06,太平洋,2.0,2.0,增持,,,材料行业
002262,恩华药业,2017-01-06,西南证券,3.0,3.0,买入,,,医药制造
000538,云南白药,2017-01-06,辉立证券,3.0,,买入,,,中药
300385,雪浪环境,2017-01-06,东吴证券,3.0,3.0,买入,,,机械行业
603900,通灵珠宝,2017-01-06,国金证券,,,,,,珠宝首饰
000759,中百集团,2017-01-06,国金证券,,,,,,商业百货
300015,爱尔眼科,2017-01-06,群益证券,3.0,,买入,,,医药制造
920184,国源科技,2017-01-05,广州广证恒生市场研究,,,,,,IT服务Ⅱ
000951,中国重汽,2017-01-05,信达证券,2.0,,增持,,,汽车行业
603689,皖天然气,2017-01-05,上海证券,,,,,,石油行业
603203,快克股份,2017-01-05,上海证券,2.0,,增持,,,专用设备
002165,红宝丽,2017-01-05,华安证券,3.0,,买入,,,化工行业
300145,中金环境,2017-01-05,东吴证券,3.0,3.0,买入,,,机械行业
002314,南山控股,2017-01-05,国金证券,,,,,,房地产
601012,隆基股份,2017-01-05,国金证券,,,,,,材料行业
002262,恩华药业,2017-01-05,国金证券,,,,,,医药制造
002341,新纶科技,2017-01-05,东兴证券,3.0,,买入,,,材料行业
300068,南都电源,2017-01-05,东吴证券,3.0,3.0,买入,,,电池
002165,红宝丽,2017-01-05,西南证券,3.0,3.0,买入,,,化学制品
002727,一心堂,2017-01-05,西南证券,2.0,2.0,增持,,,医药商业
300383,光环新网,2017-01-05,元大证券(香港),3.0,3.0,买入,,,通信服务
000333,美的集团,2017-01-05,高华证券,,,,,,白色家电
300015,爱尔眼科,2017-01-04,西南证券,3.0,3.0,买入,,,医疗服务
600114,东睦股份,2017-01-04,西南证券,2.0,2.0,增持,,,通用设备
300098,高新兴,2017-01-04,民生证券,,,,,,通信设备
002456,欧菲光,2017-01-04,民生证券,,,,,,光学光电子
002738,中矿资源,2017-01-04,民生证券,,,,,,能源金属
600098,广州发展,2017-01-04,信达证券,3.0,3.0,买入,,,电力
000059,华锦股份,2017-01-04,信达证券,3.0,3.0,买入,,,炼化及贸易
300015,爱尔眼科,2017-01-04,东兴证券,2.0,2.0,增持,,,医疗服务
300334,津膜科技,2017-01-04,东兴证券,3.0,3.0,买入,,,环境治理
600297,广汇汽车,2017-01-04,东吴证券,3.0,,买入,,,汽车行业
600066,宇通客车,2017-01-04,东吴证券,3.0,3.0,买入,,,商用车
002024,苏宁云商,2017-01-04,东兴证券,3.0,3.0,买入,,,互联网电商
300343,联创互联,2017-01-04,东兴证券,2.0,2.0,增持,,,化学制品
603108,润达医疗,2017-01-04,上海证券,2.0,2.0,增持,,,医疗服务
